Government consolidated gross debt,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
European Union - 27 countries (from 2020),5506467,5546619,5590396,5589363,5725974,5807455,5866319,5846779,6024452,6154226,6197406,6143254,6304148,6415599,6425750,6420182,6517940,6575481,6612556,6573566,6676166,6763666,6754731,6689885,6826050,6932691,6978351,7207709,7503877,7767874,7929843,8021697,8244384,8428945,8531416,8830822,8995084,9138068,9173114,9262712,9390111,9556365,9587765,9687372,9891971,10007621,9984413,9997313,10126347,10229705,10215304,10242750,10411179,10413558,10415764,10395286,10592560,10665236,10602301,10580286,10711818,10777541,10751790,10686752,10762385,10780139,10844708,10781768,10915150,10971443,11003231,10871059,11094423,11888100,12072781,12090479,12418930,12639315,12762163,12762414,12995917,13121764,13180283
Euro area â 20 countries (from 2023),5116813,5163853,5192783,5187905,5318408,5401779,5455833,5441799,5601986,5721536,5758008,5700308,5854220,5963524,5974919,5964805,6069173,6125783,6153912,6103876,6212100,6299556,6291668,6216784,6356406,6448977,6496908,6727779,7040103,7271318,7396692,7470799,7659473,7838780,7911144,8199945,8348079,8484885,8532018,8615092,8717752,8877833,8890210,8987731,9173340,9294167,9260555,9280086,9428758,9524004,9497722,9514938,9659906,9667459,9673454,9645342,9840188,9911893,9851130,9822210,9933746,9995791,9989204,9909654,9993140,10024910,10079423,10009745,10147669,10200062,10240195,10097974,10329961,11021453,11190409,11161752,11475436,11672317,11796440,11787368,12023819,12148935,12198121
Euro area - 19 countries  (2015-2022),5106774,5153824,5182628,5177508,5307348,5390337,5444279,5430177,5589775,5708303,5744696,5687098,5839820,5948660,5960047,5949680,6053862,6110115,6138336,6088341,6196242,6283238,6275280,6200296,6339672,6431952,6479530,6709220,7020879,7251003,7375539,7448703,7636406,7815192,7886155,8174154,8320135,8457309,8503728,8586574,8688132,8847495,8859721,8956984,9141875,9261086,9227062,9244700,9393297,9488250,9461997,9478198,9622033,9630056,9635909,9607811,9802544,9874561,9813334,9784637,9894133,9957703,9951027,9871291,9954944,9986051,10041116,9971083,10108701,10159848,10200153,10058561,10290712,10977845,11147215,11117973,11430384,11626731,11750307,11741627,11978574,12103279,12152370
Belgium,295527,293733,292962,288111,297454,296833,295755,285867,300650,300425,301260,288419,303644,302370,301465,294975,308285,303188,305313,297495,307996,307882,314884,300064,314287,313627,319139,327683,345956,348259,353339,347224,363995,369232,368896,364132,381224,380304,386236,389107,404786,410818,409816,404752,424169,428088,425495,414432,435321,438932,439129,431379,450488,446969,447528,438497,454143,459405,459221,451612,462288,460098,466774,454041,469908,470073,470577,459381,477752,477468,480044,467240,492125,524244,515878,515168,537303,546530,548189,548488,562175,573668,575009
Bulgaria,10255,9257,9278,8890,8680,8617,8473,8126,8381,8346,7769,7526,6877,7034,6458,6388,5986,5901,5863,5721,5431,5343,5331,5296,4875,4858,4923,4848,4779,4988,4947,5112,5124,5273,5590,5857,5725,5768,5815,6285,6410,6321,7261,7005,6885,6885,6625,7147,7680,8141,9653,11619,12537,12480,11956,11871,13647,13656,13611,14188,13954,14027,13126,13182,12656,12614,12516,12427,11950,11947,12213,12311,12330,12846,15269,15131,15273,15723,15824,17009,16231,16441,18708
Czechia,20100,22160,23279,22013,24363,25020,25114,24530,26049,28254,28111,28673,29705,29746,30344,31385,32357,33049,33606,35405,35057,35643,36450,39606,40121,45212,44043,42298,41857,49132,51690,49824,53200,53740,61419,59059,61645,62535,63291,62576,69397,67913,71573,71778,71738,69899,69653,67096,66979,66221,66364,65581,66627,67076,67228,67943,68658,68202,67057,64939,71184,73429,66950,68520,72117,70324,69135,67431,71143,71388,69138,68492,69171,84706,79798,81922,96128,98771,95463,103259,110059,112978,121491
Denmark,90372,92399,96599,93174,97587,97072,95842,89061,94680,96542,98373,89394,90837,91447,84646,79532,74546,75834,76293,71183,69334,67173,66811,63755,65245,63831,58342,80547,83712,88924,92292,92986,98857,104987,105750,103472,109626,113174,120566,114452,111170,115308,117924,114025,112553,116286,118198,113943,115312,116239,120987,117801,116565,113474,111884,108532,107205,108770,107236,105450,103765,104961,105753,105727,104853,103921,104467,102597,101735,106753,106019,104152,103822,128015,130628,131823,127316,128475,129187,123315,114791,113702,112961
Germany,1285983,1290253,1308782,1317680,1349442,1366466,1389363,1405195,1448336,1457954,1476547,1475183,1503196,1517172,1538463,1545669,1565008,1577341,1595172,1595311,1598431,1616842,1597550,1603669,1622299,1658080,1653647,1672576,1702501,1767842,1775758,1789213,1808578,1849678,1875566,2102672,2106928,2118978,2134697,2139149,2170134,2216023,2210471,2216705,2206853,2205802,2186604,2201918,2191703,2197939,2199629,2203743,2209784,2175008,2176962,2177231,2186651,2190095,2183539,2161570,2137659,2132326,2127092,2111751,2090093,2075780,2076450,2063571,2074202,2064616,2081101,2046638,2091520,2261026,2334627,2315216,2345586,2397710,2430788,2471628,2475736,2514916,2527294
Estonia,332,414,423,442,437,460,470,489,480,493,500,499,501,518,529,533,521,496,525,628,602,515,541,617,710,664,696,749,831,901,893,1023,1010,983,1008,981,1004,1003,998,1027,1126,1250,1660,1762,1807,1853,1907,1934,2028,2053,2070,2129,2056,2058,2056,2077,1991,1963,1982,2174,2105,2096,2123,2174,2143,2127,2112,2127,2084,2477,2498,2373,2511,5088,5128,5094,5321,5524,5754,5534,5629,5702,5585
Ireland,40934,41857,42853,41987,42188,44143,44319,43409,44985,46927,45959,43888,45043,46350,46167,44371,46394,46582,45518,43723,45150,45564,53512,47183,51598,60015,71275,79621,89533,101267,103099,104685,124301,123715,139239,144229,155835,158671,187893,189726,194273,199755,210430,210026,218269,218381,218447,215241,215002,209464,208226,203381,203585,204106,203572,201673,207210,200399,202460,200635,208606,211244,210917,201267,210217,214493,215674,205847,215002,213750,213029,203363,213576,225691,227091,217741,230325,234466,236303,236073,235133,236603,236142
Greece,161507,162757,164471,171410,170278,174153,174592,181510,187837,198359,199794,199282,200892,209098,212478,213976,214744,219515,221659,225730,231675,233269,234171,239915,244548,249692,256238,264775,281548,291479,296231,301062,311473,315853,328594,330570,342265,342057,348354,356235,281499,301787,301208,305085,306699,317674,318007,320498,319971,322055,319175,319629,303363,301980,303907,311729,309104,315274,311151,315012,310661,309090,313489,317481,322573,323396,335028,334721,337410,335515,334277,331093,329649,333892,337727,341153,344269,354114,357369,353434,357676,359110,357431
Spain,379002,383191,381131,384145,381976,389134,382788,382775,388781,390340,386682,389888,394722,393037,390459,393479,393984,390270,394583,392132,398734,400012,391300,384662,380270,390638,403722,440621,473710,511173,533678,569535,586851,609032,620541,649153,691086,710840,713895,743043,781571,810956,823547,927813,1000221,1014560,1024830,1025655,1053452,1066099,1073210,1084846,1095614,1100882,1110817,1113661,1135747,1144690,1146320,1145050,1165853,1174893,1176715,1183412,1199832,1202859,1214636,1208861,1231635,1242270,1238656,1223355,1258745,1325133,1342410,1345786,1393076,1424717,1432341,1427238,1453855,1475368,1503799
France,909606,936554,940257,956794,988478,1028178,1043958,1050356,1071942,1106206,1111265,1123615,1146706,1165760,1171662,1189919,1199157,1195959,1207702,1194106,1230606,1262966,1265199,1252867,1294330,1313423,1330405,1370326,1453804,1542608,1582240,1607983,1652990,1710802,1689474,1701122,1745488,1790115,1784947,1807957,1864357,1899823,1879100,1892540,1929283,1971027,1959365,1977734,2020343,2038600,2043717,2039884,2092105,2108692,2107130,2101255,2176341,2209506,2201172,2188481,2252256,2275804,2271620,2254331,2282382,2296132,2316104,2310877,2351767,2368031,2408699,2374942,2433643,2634209,2670393,2656153,2745096,2768666,2840922,2821899,2910657,2916834,2956801
Croatia,10038,10028,10155,10397,11060,11442,11554,11622,12210,13232,13312,13210,14400,14863,14872,15124,15311,15668,15575,15534,15857,16318,16387,16488,16734,17024,17378,18559,19223,20315,21153,22096,23067,23588,24988,25790,27943,27576,28290,28518,29620,30338,30488,30747,31465,33081,33493,35386,35462,35754,35726,36741,37876,37405,37548,37534,37646,37334,37798,37575,39616,38090,38179,38365,38199,38861,38310,38664,38971,40217,40045,39415,39251,43610,43196,43780,45054,45588,46135,45743,45247,45659,45752
Italy,1460109,1465040,1467742,1436141,1474858,1483887,1502193,1471325,1524971,1566635,1571859,1526400,1587650,1631133,1616144,1591580,1642941,1676226,1678931,1657334,1686652,1701326,1700548,1677649,1726441,1729810,1725252,1738647,1817198,1829340,1865219,1839232,1876146,1900490,1920853,1920620,1943492,1977596,1959696,1973445,2021506,2050133,2064254,2054727,2101498,2142907,2135756,2136202,2187827,2236458,2202382,2202971,2252980,2273259,2261564,2239382,2298237,2319536,2282337,2285669,2327531,2357524,2360337,2329858,2369271,2389485,2397813,2381513,2416413,2444094,2441306,2410010,2433631,2530458,2584474,2572756,2650565,2695474,2707227,2678098,2755466,2768877,2743111
