GDP current prices,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
European Union - 27 countries (from 2020),8538773,8767565,9167938,9560869,10112450,10738858,11085411,10587691,10980484,11328290,11396449,11516210,11782085,12215145,12548705,13074833,13533330,14018694,13461563,14530921,15810106
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",7499460,7710378,8032439,8309692,8739457,9238908,9480256,9212374,9472824,9746636,9781904,9878312,10132878,10523091,10817293,11224152,11599255,11986272,11456917,12318505,13338549
Euro area – 20 countries (from 2023),7629503,7851360,8187276,8481369,8933767,9431168,9668629,9317911,9579300,9843169,9882033,9980580,10213448,10568349,10864632,11274138,11652002,12041917,11507342,12376759,13405935
Euro area - 19 countries  (2015-2022),7600741,7820334,8153458,8444524,8893188,9386833,9620164,9272325,9533536,9797619,9837412,9936143,10169459,10523091,10817293,11224152,11599255,11986272,11456917,12318505,13338549
Euro area - 12 countries (2001-2006),7499460,7710378,8032439,8309692,8739457,9203835,9417115,9087088,9341418,9594332,9627225,9722470,9948981,10293622,10580021,10971128,11328274,11698588,11173886,12007541,12985768
Belgium,273255,281200,296819,310037,325151,343618,351743,346472,363140,375967,386174,392880,403003,416701,430085,445050,460050,478645,459826,502311,552446
Bulgaria,17478,18798,21093,24039,27410,32464,37246,37417,38284,41478,42256,42050,43026,45812,48773,52531,56224,61558,61638,71077,84560
Czechia,87358,88659,96554,110321,124581,139002,162064,149586,157920,165202,162587,159461,157821,169558,177438,194132,210970,225613,215805,238249,276605
Denmark,189794,193353,202422,212832,225531,233383,241613,231278,243165,247879,254578,258742,265757,273017,283109,294808,302328,309526,311759,336718,376087
Germany,2198120,2211570,2262520,2288310,2385080,2499550,2546490,2445730,2564400,2693560,2745310,2811350,2927430,3026180,3134740,3267160,3365450,3473260,3405430,3601750,3867050
Estonia,7822,8744,9777,11343,13568,16401,16618,14131,14741,16677,17916,18910,20048,20631,21747,23833,25932,27764,27465,31444,36181
Ireland,135997,145576,156260,170306,184916,197069,187283,169519,167391,171703,175615,179457,195085,262975,270205,297763,326631,356704,372836,426283,502583
