GDP(P2010);2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
European Union - 27 countries (from 2020);9926285.6;10011712.6;10264759.7;10457471.2;10819409.0;11158294.5;11229656.8;10746632.6;10980484.9;11185603.8;11104324.0;11094200.6;11270466.8;11527820.1;11755741.0;12089001.3;12338669.6;12561702.5;11852021.5;12494664.7;12934166.6
European Union - 28 countries (2013-2020);11597764.5;11749279.6;12041382.2;12290136.9;12698941.1;13079468.6;13142240.6;12580707.2;12852660.3;13081662.7;13027369.7;13061858.4;13295012.3;13600331.0;13863061.8;14231410.2;14507642.5;14760266.4;;;
European Union - 15 countries (1995-2004);10808195.3;10932470.9;11185354.0;11397336.2;11753280.9;12077961.5;12103278.4;11575104.6;11831454.4;12025661.7;11963575.2;11992140.3;12191855.7;12453099.3;12684094.8;12992917.9;13208367.1;13409203.3;;;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);8599611.7;8649331.7;8842452.8;8983095.2;9266021.7;9570723.8;9633579.9;9273220.7;9472824.1;9645999.4;9558702.5;9534762.8;9687053.5;9916751.0;10101601.7;10365987.5;10550696.1;10717645.7;10064747.2;10601783.2;10968580.5
Euro area Ã 20 countries (from 2023);8788546.7;8846970.2;9049120.0;9200551.9;9497462.8;9782006.0;9823160.9;9380294.4;9579300.2;9739849.4;9654078.2;9631563.4;9764647.1;9962187.4;10148608.3;10414576.0;10600620.9;10769242.8;10111962.7;10654946.1;11025022.8
Euro area - 19 countries  (2015-2022);8749156.2;8805685.4;9006228.9;9155958.7;9450755.0;9733051.5;9773273.5;9333978.2;9533536.5;9694125.4;9609410.8;9587071.9;9720317.4;9916751.0;10101601.7;10365987.5;10550696.1;10717645.7;10064747.2;10601783.2;10968580.5
Euro area - 12 countries (2001-2006);8599611.7;8649331.7;8842452.8;8983095.2;9266021.7;9533196.2;9568806.6;9147410.9;9341418.3;9496518.7;9409103.8;9385675.3;9513634.0;9702266.4;9881034.4;10135793.5;10310512.0;10468663.9;9822730.3;10345980.5;10706175.3
Belgium;315079.1;318349.6;329718.5;337373.7;345984.7;358706.1;360309.3;353028.3;363140.1;369293.6;372023.4;373731.9;379631.4;387381.4;392288.3;398641.8;405789.2;414882.4;392638.9;416722.9;429604.1
Bulgaria;26890.4;28298.7;30141.1;32268.0;34463.0;36756.3;39009.3;37703.6;38284.9;39089.4;39384.5;39163.7;39542.4;40897.9;42141.2;43305.2;44467.8;46263.5;44432.1;47824.3;49431.8
Czechia;120708.2;125034.0;131053.5;139705.2;149158.9;157467.6;161697.8;154167.0;157920.8;160700.8;159439.3;159366.1;162971.1;171752.6;176110.5;185213.1;191177.2;196969.6;186130.4;192743.1;197486.4
Denmark;228124.1;229014.0;235124.6;240618.6;250034.0;252307.4;251015.5;238699.3;243165.4;246416.0;246974.1;249279.2;253316.0;259250.2;267665.3;275218.1;280693.7;284885.8;279203.5;292760.8;303375.0
Germany;2389573.6;2372843.7;2400726.8;2418293.0;2510585.8;2585312.3;2610128.1;2461511.7;2564400.0;2665057.6;2676210.8;2687921.7;2747312.5;2788300.5;2850479.6;2926879.1;2955598.6;2986827.5;2876410.8;2951973.8;3004672.7
Estonia;11953.6;12862.1;13737.2;15045.9;16515.2;17766.9;16855.1;14389.4;14741.1;15811.8;16322.2;16560.2;17058.9;17375.0;17923.3;18961.4;19679.0;20414.9;20302.4;21929.4;21647.0
Ireland;141206.9;145463.0;155337.7;164253.4;172446.1;181603.2;173460.0;164620.9;167391.4;168787.2;168777.8;170677.7;185440.2;230632.8;235260.9;256446.9;278315.5;293458.5;311607.5;353949.5;396315.8
Greece;203768.7;215576.2;226486.5;227843.5;240722.2;248602.8;247769.5;237113.6;224124.0;201377.0;187106.0;182398.4;183266.1;182906.7;182015.6;184003.5;187073.5;190598.6;173437.0;188065.4;199187.1
Spain;929100.7;956805.9;986684.4;1022719.0;1064677.9;1103056.8;1112841.6;1070964.2;1072709.0;1063973.0;1032490.9;1018001.5;1032210.5;1071832.1;1104392.0;1137256.0;1163236.3;1186314.5;1051959.2;1110023.1;1170538.6
France;1817270.9;1832230.0;1884077.6;1915413.9;1962328.6;2009909.9;2015034.1;1957135.9;1995289.0;2039039.7;2045424.7;2057213.0;2076883.7;2099997.6;2123002.3;2171649.2;2212151.9;2252921.3;2077540.7;2219158.1;2276021.6
Croatia;38729.6;40896.6;42607.2;44443.0;46628.8;48942.0;49921.7;46330.6;45763.6;45724.0;44657.9;44480.2;44289.2;45406.3;47022.5;48627.1;49989.0;51699.2;47263.2;53441.5;56825.1
Italy;1596457.3;1598670.4;1621429.0;1634689.8;1663961.2;1688705.5;1672460.0;1584138.4;1611279.4;1622676.5;1574306.1;1545322.1;1545251.8;1557278.5;1577421.4;1603730.5;1618578.0;1626399.0;1480362.6;1583792.0;1641991.4
Cyprus;15063.4;15458.6;16235.6;17023.5;17826.0;18734.7;19418.0;19026.6;19461.1;19542.2;18868.5;17625.6;17312.5;17904.4;19081.4;20175.4;21314.9;22493.5;21510.0;22938.0;24229.9
Latvia;14142.7;15334.0;16604.2;18384.3;20585.2;22631.8;21896.4;18774.0;17937.5;18399.2;19694.9;20090.3;20472.5;21267.9;21771.7;22492.8;23390.7;23991.8;23463.3;24416.8;24899.3
