Total employment(domestic concept),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
European Union - 27 countries (from 2020),188400,188965,189831,191772,195380,199389,201355,197729,195851,195945,195470,194714,196492,198322,200895,204145,207134,209449,206449,209470,213676
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",137779,138306,139404,140787,143197,146823,148622,148287,147609,148407,147830,147071,149026,151743,153883,156286,158842,160953,158479,160702,164313
Euro area Ð 20 countries (from 2023),145715,146358,147465,148939,151547,154413,155742,152823,151919,152123,151524,150758,151891,153305,155449,157890,160487,162649,160154,162397,166048
Euro area - 19 countries  (2015-2022),144166,144773,145867,147326,149885,152700,153994,151086,150249,150518,149977,149256,150348,151743,153883,156286,158842,160953,158479,160702,164313
Euro area - 12 countries (2001-2006),137779,138306,139404,140787,143197,145846,147057,144535,143906,144092,143523,142798,143833,145110,147123,149403,151807,153823,151460,153675,157066
Belgium,4175,4171,4212,4273,4321,4393,4471,4464,4492,4553,4572,4559,4577,4617,4675,4748,4818,4895,4898,4989,5088
Bulgaria,3222,3317,3403,3495,3612,3726,3814,3749,3603,3524,3436,3421,3434,3446,3463,3525,3521,3533,3451,3458,3502
Czechia,4876,4838,4828,4922,4988,5093,5204,5110,5057,5043,5064,5080,5108,5181,5264,5345,5417,5430,5337,5357,5450
Denmark,2784,2758,2744,2783,2845,2912,2946,2854,2787,2786,2766,2766,2790,2829,2876,2919,2962,3005,2973,3045,3163
Germany (until 1990 former territory of the FRG),39666,39237,39362,39311,39595,40272,40838,40903,41048,41544,42019,42350,42721,43122,43661,44251,44866,45277,44915,44980,45570
Estonia,588,601,598,612,642,643,642,576,548,584,593,600,605,622,624,641,647,655,637,638,668
Ireland,1849,1884,1946,2037,2128,2218,2196,2013,1923,1885,1877,1933,1984,2053,2130,2189,2251,2318,2252,2388,2546
Greece,4434,4495,4604,4646,4731,4795,4856,4829,4706,4505,4325,4300,4453,4322,4469,4446,4650,4751,4666,4793,4975
Spain,17672,18238,18906,19704,20512,21173,21196,19852,19505,19010,18248,17802,17987,18490,18885,19382,19809,20332,19481,19961,20516
France,26098,26105,26141,26321,26607,26992,27129,26819,26846,27048,27140,27190,27334,27391,27567,27881,28158,28495,28298,29007,29696
Croatia,1548,1585,1597,1612,1661,1712,1747,1736,1670,1604,1546,1502,1542,1561,1565,1603,1645,1695,1675,1695,1735
Italy,23875,24226,24373,24510,24994,25303,25359,24941,24782,24849,24782,24338,24357,24516,24848,25138,25371,25503,24956,25107,25541
Cyprus,328,340,353,366,373,389,403,403,406,407,392,370,363,369,386,407,428,445,439,445,458
Latvia,952,958,960,969,1024,1064,1055,903,843,856,868,888,876,889,886,885,898,898,877,854,877
Lithuania,1395,1426,1410,1421,1417,1446,1427,1318,1248,1255,1278,1296,1322,1341,1371,1361,1380,1388,1366,1382,1453
Luxembourg,286,292,299,307,319,333,349,352,359,369,378,385,395,405,417,432,447,463,471,485,502
Hungary,4117,4196,4152,4122,4155,4125,4052,3975,3949,3947,3983,4034,4218,4312,4473,4559,4663,4715,4662,4715,4797
Malta,149,148,149,151,153,156,160,161,163,168,173,181,192,199,208,225,238,252,259,266,283
Netherlands,8427,8380,8285,8340,8521,8772,8915,8839,8779,8855,8837,8733,8725,8808,8943,9157,9408,9623,9571,9759,10146
Austria,3778,3803,3826,3872,3940,4012,4089,4067,4098,4161,4205,4219,4259,4285,4341,4412,4487,4535,4460,4551,4669
Poland,13766,13606,13760,14057,14503,15155,15731,15789,15370,15457,15474,15463,15731,15970,16099,16315,16403,16397,16397,16815,16882
Portugal,5149,5100,5064,5040,5060,5061,5080,4941,4871,4776,4581,4450,4512,4575,4649,4802,4914,4952,4864,4958,5059
Romania,9573,9569,9187,9159,9353,9488,9359,9017,8725,8522,8645,8569,8634,8525,8429,8631,8638,8649,8472,8624,8635
Slovenia,934,931,934,929,944,976,1000,984,963,947,938,927,931,943,961,989,1020,1045,1039,1052,1078
Slovakia,2038,2060,2055,2088,2132,2176,2247,2203,2169,2208,2209,2192,2223,2267,2321,2372,2419,2445,2399,2385,2427
Finland,2364,2370,2382,2418,2464,2518,2575,2509,2494,2534,2556,2536,2525,2523,2535,2561,2626,2674,2623,2695,2761
Sweden,4344,4319,4289,4293,4372,4474,4504,4410,4438,4540,4574,4618,4682,4752,4840,4958,5038,5068,5000,5059,5196
Iceland,148,149,150,161,170,178,179,164,162,164,167,171,175,180,188,196,202,202,192,195,210
Norway,2319,2285,2292,2319,2396,2490,2570,2559,2552,2589,2642,2672,2700,2710,2717,2748,2792,2836,2792,2827,2937
Switzerland,4117,4103,4114,4144,4234,4344,4448,4469,4481,4597,4679,4736,4825,4899,4967,5012,5064,5101,5076,5105,5179
