GDP current prices;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
European Union - 27 countries (from 2020);8.538.773,3;8.767.565,2;9.167.938,8;9.560.869,1;10.112.450,9;10.738.858,8;11.085.411,7;10.587.691,4;10.980.484,9;11.328.290,6;11.396.449,5;11.516.210,9;11.782.085,3;12.215.145,8;12.548.705,7;13.074.833,0;13.533.330,2;14.018.694,3;13.461.563,4;14.530.921,0;15.810.106,3
European Union - 28 countries (2013-2020);10.427.472,9;10.582.892,0;11.109.204,0;11.598.070,0;12.269.784,5;12.998.093,9;13.081.266,2;12.325.757,9;12.852.660,3;13.241.159,8;13.507.478,4;13.612.548,9;14.093.165,5;14.859.862,3;14.982.824,9;15.434.622,8;15.954.227,4;16.545.309,5;:;:;:
European Union - 15 countries (1995-2004);9.861.582,0;10.015.364,3;10.486.308,5;10.875.500,1;11.459.639,7;12.055.398,6;12.009.464,2;11.371.071,0;11.831.454,4;12.167.926,1;12.422.869,3;12.519.401,6;12.964.652,3;13.666.851,7;13.763.516,8;14.105.751,9;14.522.173,4;15.011.599,1;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);7.499.460,4;7.710.378,5;8.032.439,1;8.309.692,0;8.739.457,7;9.238.908,5;9.480.256,4;9.212.374,5;9.472.824,1;9.746.636,6;9.781.904,3;9.878.312,8;10.132.878,0;10.523.091,6;10.817.293,9;11.224.152,9;11.599.255,4;11.986.272,8;11.456.917,7;12.318.505,1;13.338.549,7
Euro area – 20 countries (from 2023);7.629.503,0;7.851.360,0;8.187.276,1;8.481.369,3;8.933.767,3;9.431.168,6;9.668.629,4;9.317.911,6;9.579.300,2;9.843.169,7;9.882.033,2;9.980.580,7;10.213.448,4;10.568.349,5;10.864.632,6;11.274.138,8;11.652.002,5;12.041.917,2;11.507.342,6;12.376.759,2;13.405.935,8
Euro area - 19 countries  (2015-2022);7.600.741,8;7.820.334,2;8.153.458,1;8.444.524,1;8.893.188,0;9.386.833,2;9.620.164,2;9.272.325,4;9.533.536,5;9.797.619,8;9.837.412,0;9.936.143,7;10.169.459,3;10.523.091,6;10.817.293,9;11.224.152,9;11.599.255,4;11.986.272,8;11.456.917,7;12.318.505,1;13.338.549,7
Euro area - 12 countries (2001-2006);7.499.460,4;7.710.378,5;8.032.439,1;8.309.692,0;8.739.457,7;9.203.835,0;9.417.115,1;9.087.088,9;9.341.418,3;9.594.332,3;9.627.225,3;9.722.470,2;9.948.981,2;10.293.622,9;10.580.021,4;10.971.128,3;11.328.274,3;11.698.588,1;11.173.886,8;12.007.541,7;12.985.768,7
Belgium;273.255,9;281.200,2;296.819,7;310.037,6;325.151,5;343.618,9;351.743,1;346.472,8;363.140,1;375.967,8;386.174,7;392.880,0;403.003,3;416.701,4;430.085,3;445.050,1;460.050,8;478.645,0;459.826,3;502.311,6;552.446,4
Bulgaria;17.478,3;18.798,3;21.093,2;24.039,9;27.410,0;32.464,7;37.246,7;37.417,7;38.284,9;41.478,9;42.256,8;42.050,2;43.026,0;45.812,3;48.773,1;52.531,3;56.224,8;61.558,5;61.638,9;71.077,0;84.560,6
Czechia;87.358,2;88.659,5;96.554,1;110.321,7;124.581,2;139.002,1;162.064,5;149.586,5;157.920,8;165.202,2;162.587,5;159.461,5;157.821,3;169.558,2;177.438,5;194.132,9;210.970,5;225.613,5;215.805,4;238.249,5;276.605,9
Denmark;189.794,9;193.353,4;202.422,2;212.832,4;225.531,3;233.383,3;241.613,5;231.278,0;243.165,4;247.879,9;254.578,0;258.742,7;265.757,0;273.017,6;283.109,7;294.808,2;302.328,7;309.526,4;311.759,7;336.718,8;376.087,2
Germany;2.198.120,0;2.211.570,0;2.262.520,0;2.288.310,0;2.385.080,0;2.499.550,0;2.546.490,0;2.445.730,0;2.564.400,0;2.693.560,0;2.745.310,0;2.811.350,0;2.927.430,0;3.026.180,0;3.134.740,0;3.267.160,0;3.365.450,0;3.473.260,0;3.405.430,0;3.601.750,0;3.867.050,0
Estonia;7.822,6;8.744,4;9.777,5;11.343,3;13.568,9;16.401,3;16.618,1;14.131,9;14.741,1;16.677,3;17.916,7;18.910,8;20.048,2;20.631,4;21.747,9;23.833,6;25.932,2;27.764,7;27.465,0;31.444,9;36.181,4
Ireland;135.997,6;145.576,4;156.260,3;170.306,8;184.916,2;197.069,4;187.283,0;169.519,7;167.391,4;171.703,2;175.615,4;179.457,6;195.085,2;262.975,9;270.205,3;297.763,2;326.631,3;356.704,6;372.836,4;426.283,4;502.583,5
Greece;163.460,8;178.904,9;193.715,8;199.242,3;217.861,6;232.694,6;241.990,4;237.534,2;224.124,0;203.308,2;188.380,6;179.884,4;177.236,0;176.368,9;174.494,2;176.903,4;179.557,7;183.351,2;165.405,9;181.674,6;208.030,2
Spain;749.552,0;802.266,0;859.437,0;927.357,0;1.003.823,0;1.075.539,0;1.109.541,0;1.069.323,0;1.072.709,0;1.063.763,0;1.031.104,0;1.020.677,0;1.032.608,0;1.078.092,0;1.114.420,0;1.162.492,0;1.203.859,0;1.245.513,0;1.117.989,0;1.206.842,0;1.327.108,0
France;1.587.829,0;1.630.666,0;1.704.019,0;1.765.905,0;1.848.151,0;1.941.360,0;1.992.380,0;1.936.422,0;1.995.289,0;2.058.369,0;2.088.804,0;2.117.189,0;2.149.765,0;2.198.432,0;2.234.129,0;2.297.242,0;2.363.306,0;2.437.635,0;2.310.469,0;2.500.870,0;2.642.713,0
Croatia;28.761,2;31.025,7;33.818,0;36.845,2;40.579,3;44.335,5;48.465,2;45.586,2;45.763,6;45.549,9;44.621,2;44.437,1;43.989,1;45.257,9;47.338,7;49.985,9;52.747,2;55.644,4;50.424,9;58.254,1;67.386,1
Italy;1.350.258,9;1.394.693,2;1.452.319,0;1.493.635,3;1.552.686,8;1.614.839,8;1.637.699,4;1.577.255,9;1.611.279,4;1.648.755,8;1.624.358,7;1.612.751,3;1.627.405,6;1.655.355,0;1.695.786,8;1.736.592,8;1.771.391,2;1.796.648,5;1.661.019,9;1.787.675,4;1.909.153,6
Cyprus;12.082,9;12.871,3;13.938,0;15.039,3;16.263,8;17.591,0;19.009,6;18.675,5;19.461,1;19.858,1;19.495,4;18.040,3;17.482,8;17.944,2;19.013,8;20.312,4;21.675,1;23.176,2;21.894,9;24.018,9;27.011,7
Latvia;10.168,7;10.499,6;11.724,0;13.791,9;17.363,1;22.791,5;24.531,5;18.922,0;17.937,5;19.666,0;22.097,5;22.791,3;23.625,8;24.572,1;25.371,3;26.984,4;29.153,6;30.678,6;30.294,0;33.587,6;39.080,7
Lithuania;15.153,3;16.650,2;18.219,4;20.979,9;24.053,3;29.011,2;32.660,1;26.897,0;28.033,8;31.317,2;33.410,2;35.039,5;36.581,3;37.345,7;38.889,9;42.276,3;45.515,2;48.916,4;49.829,3;56.153,5;66.832,5
Luxembourg;25.011,1;26.227,3;28.189,4;30.281,0;34.175,0;37.641,9;40.009,6;39.050,7;42.402,7;44.323,5;46.526,2;49.094,5;51.791,3;54.142,3;56.208,1;58.168,8;60.121,2;62.373,6;64.781,0;72.295,0;78.130,1
Hungary;71.756,1;75.427,8;83.883,3;91.090,4;92.126,7;102.414,6;108.345,4;94.605,6;99.771,6;102.152,0;100.247,6;102.239,7;106.263,8;112.791,0;116.255,7;127.024,7;136.055,4;146.554,5;137.866,0;154.120,1;170.246,8
Malta;4.740,9;4.823,5;4.910,4;5.152,1;5.403,0;5.790,3;6.206,0;6.259,6;6.815,8;6.924,6;7.364,5;7.944,3;8.751,1;9.996,7;10.541,1;11.936,6;12.953,9;14.186,4;13.173,0;15.001,9;16.870,3
Netherlands;501.137,0;512.810,0;529.286,0;550.883,0;584.546,0;619.170,0;647.198,0;624.842,0;639.187,0;650.359,0;652.966,0;660.463,0;671.560,0;690.008,0;708.337,0;738.146,0;773.987,0;813.055,0;796.530,0;855.470,0;941.186,0
Austria;226.735,2;231.862,5;242.348,3;254.075,0;267.824,5;283.978,0;293.761,9;288.044,0;295.896,6;310.128,7;318.653,0;323.910,2;333.146,1;344.269,2;357.608,0;369.361,9;385.274,1;397.169,5;381.042,5;406.148,7;447.652,7
Poland;210.560,0;192.552,1;206.126,0;246.216,8;274.501,7;313.848,3;366.040,5;317.040,6;359.067,8;377.042,4;385.389,4;388.356,4;406.412,5;429.834,6;424.735,3;465.772,6;499.004,1;532.504,7;526.147,2;574.771,8;654.643,5
Portugal;142.554,3;146.067,9;152.248,4;158.552,7;166.260,5;175.483,4;179.102,8;175.416,4;179.610,8;176.096,2;168.295,6;170.492,3;173.053,7;179.713,2;186.489,8;195.947,2;205.184,1;214.374,6;200.518,9;214.741,0;239.253,3
Romania;48.695,7;51.108,5;60.402,0;79.223,9;97.215,6;127.632,0;146.590,6;125.213,9;128.278,9;138.520,7;139.319,8;142.928,9;150.522,4;160.287,8;167.494,3;186.399,0;206.071,9;224.178,6;220.486,6;241.268,4;286.427,0
Slovenia;24.972,4;26.247,5;27.692,0;29.122,3;31.476,1;35.073,5;37.925,7;36.254,9;36.363,9;37.058,6;36.253,3;36.454,3;37.634,3;38.852,6;40.443,2;43.011,3;45.876,3;48.533,1;47.020,6;52.208,1;58.988,5
Slovakia;26.340,7;30.119,1;34.757,7;39.403,4;45.602,0;56.339,3;66.098,1;64.095,5;68.764,9;71.785,8;73.649,3;74.492,8;76.354,5;80.126,0;81.265,2;84.669,9;89.874,7;94.437,5;93.413,8;98.523,0;107.730,1
Finland;148.486,0;151.749,0;158.758,0;164.687,0;172.897,0;187.072,0;194.265,0;181.747,0;188.143,0;197.998,0;201.037,0;204.321,0;206.897,0;211.385,0;217.518,0;226.301,0;233.462,0;239.858,0;238.038,0;250.594,0;266.679,0
Sweden;283.627,1;296.305,5;310.182,0;315.774,8;337.317,2;358.945,1;354.881,1;314.637,5;374.695,2;412.844,7;430.037,1;441.850,7;438.833,9;455.494,7;466.266,5;480.025,5;470.673,1;476.869,5;480.556,4;538.317,6;557.531,4
Iceland;9.911,1;10.118,1;11.136,3;13.568,0;13.966,7;15.827,4;11.052,1;9.419,1;10.383,4;10.934,3;11.479,9;12.132,9;13.472,6;15.795,3;18.804,2;21.917,7;22.238,3;22.027,5;18.880,6;21.611,1;26.479,3
Norway;208.313,8;202.928,2;213.642,4;249.342,9;276.477,7;294.414,5;318.851,0;279.533,4;325.493,9;360.552,4;399.069,2;395.856,8;378.456,4;349.756,7;335.396,5;356.288,5;372.657,6;365.130,5;322.823,8;414.394,9;551.261,4
Switzerland;328.614,3;320.540,7;325.343,7;336.400,1;352.038,6;358.607,9;387.052,9;399.363,6;452.470,6;515.770,5;534.012,8;531.729,1;548.014,5;625.532,7;621.765,1;615.776,3;614.304,4;644.443,2;648.913,3;676.775,2;767.616,2
United Kingdom;1.888.699,6;1.815.326,8;1.941.265,1;2.037.200,9;2.157.333,5;2.259.235,2;1.995.854,5;1.738.066,5;1.872.175,5;1.912.869,3;2.111.028,9;2.096.338,0;2.311.080,2;2.644.716,5;2.434.119,2;2.359.789,9;2.420.897,2;2.526.615,2;:;:;:
Bosnia and Herzegovina;7.149,1;7.530,3;8.179,7;9.024,5;10.255,1;11.528,5;13.047,8;12.679,3;12.968,9;13.411,8;13.407,5;13.691,8;13.988,3;14.791,1;15.474,3;16.260,5;17.354,2;18.296,5;17.755,9;19.995,1;23.317,3
Montenegro;:;:;:;:;2.169,6;2.689,1;3.103,3;2.993,9;3.125,1;3.264,8;3.181,5;3.362,5;3.457,9;3.654,5;3.954,2;4.299,1;4.663,1;4.950,7;4.185,6;4.955,1;5.796,8
North Macedonia;4.240,5;4.385,9;4.577,7;5.032,0;5.472,2;6.094,5;6.772,1;6.766,5;7.108,3;7.544,2;7.584,8;8.149,6;8.562,0;9.072,3;9.656,5;10.038,3;10.744,0;11.262,0;10.851,7;11.688,2;12.897,8
Albania;4.612,4;4.928,6;5.777,8;6.475,3;7.090,8;7.809,8;8.800,3;8.662,2;8.996,6;9.268,3;9.585,8;9.625,4;9.968,6;10.264,1;10.719,9;11.559,0;12.828,1;13.754,2;13.310,4;15.157,4;17.939,7
