GDP(P2010);2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
European Union - 27 countries (from 2020);9.926.285,6;10.011.712,6;10.264.759,7;10.457.471,2;10.819.409,0;11.158.294,5;11.229.656,8;10.746.632,6;10.980.484,9;11.185.603,8;11.104.324,0;11.094.200,6;11.270.466,8;11.527.820,1;11.755.741,0;12.089.001,3;12.338.669,6;12.561.702,5;11.852.021,5;12.494.664,7;12.934.166,6
European Union - 28 countries (2013-2020);11.597.764,5;11.749.279,6;12.041.382,2;12.290.136,9;12.698.941,1;13.079.468,6;13.142.240,6;12.580.707,2;12.852.660,3;13.081.662,7;13.027.369,7;13.061.858,4;13.295.012,3;13.600.331,0;13.863.061,8;14.231.410,2;14.507.642,5;14.760.266,4;:;:;:
European Union - 15 countries (1995-2004);10.808.195,3;10.932.470,9;11.185.354,0;11.397.336,2;11.753.280,9;12.077.961,5;12.103.278,4;11.575.104,6;11.831.454,4;12.025.661,7;11.963.575,2;11.992.140,3;12.191.855,7;12.453.099,3;12.684.094,8;12.992.917,9;13.208.367,1;13.409.203,3;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);8.599.611,7;8.649.331,7;8.842.452,8;8.983.095,2;9.266.021,7;9.570.723,8;9.633.579,9;9.273.220,7;9.472.824,1;9.645.999,4;9.558.702,5;9.534.762,8;9.687.053,5;9.916.751,0;10.101.601,7;10.365.987,5;10.550.696,1;10.717.645,7;10.064.747,2;10.601.783,2;10.968.580,5
Euro area Ð 20 countries (from 2023);8.788.546,7;8.846.970,2;9.049.120,0;9.200.551,9;9.497.462,8;9.782.006,0;9.823.160,9;9.380.294,4;9.579.300,2;9.739.849,4;9.654.078,2;9.631.563,4;9.764.647,1;9.962.187,4;10.148.608,3;10.414.576,0;10.600.620,9;10.769.242,8;10.111.962,7;10.654.946,1;11.025.022,8
Euro area - 19 countries  (2015-2022);8.749.156,2;8.805.685,4;9.006.228,9;9.155.958,7;9.450.755,0;9.733.051,5;9.773.273,5;9.333.978,2;9.533.536,5;9.694.125,4;9.609.410,8;9.587.071,9;9.720.317,4;9.916.751,0;10.101.601,7;10.365.987,5;10.550.696,1;10.717.645,7;10.064.747,2;10.601.783,2;10.968.580,5
Euro area - 12 countries (2001-2006);8.599.611,7;8.649.331,7;8.842.452,8;8.983.095,2;9.266.021,7;9.533.196,2;9.568.806,6;9.147.410,9;9.341.418,3;9.496.518,7;9.409.103,8;9.385.675,3;9.513.634,0;9.702.266,4;9.881.034,4;10.135.793,5;10.310.512,0;10.468.663,9;9.822.730,3;10.345.980,5;10.706.175,3
Belgium;315.079,1;318.349,6;329.718,5;337.373,7;345.984,7;358.706,1;360.309,3;353.028,3;363.140,1;369.293,6;372.023,4;373.731,9;379.631,4;387.381,4;392.288,3;398.641,8;405.789,2;414.882,4;392.638,9;416.722,9;429.604,1
Bulgaria;26.890,4;28.298,7;30.141,1;32.268,0;34.463,0;36.756,3;39.009,3;37.703,6;38.284,9;39.089,4;39.384,5;39.163,7;39.542,4;40.897,9;42.141,2;43.305,2;44.467,8;46.263,5;44.432,1;47.824,3;49.431,8
Czechia;120.708,2;125.034,0;131.053,5;139.705,2;149.158,9;157.467,6;161.697,8;154.167,0;157.920,8;160.700,8;159.439,3;159.366,1;162.971,1;171.752,6;176.110,5;185.213,1;191.177,2;196.969,6;186.130,4;192.743,1;197.486,4
Denmark;228.124,1;229.014,0;235.124,6;240.618,6;250.034,0;252.307,4;251.015,5;238.699,3;243.165,4;246.416,0;246.974,1;249.279,2;253.316,0;259.250,2;267.665,3;275.218,1;280.693,7;284.885,8;279.203,5;292.760,8;303.375,0
Germany (until 1990 former territory of the FRG);2.389.573,6;2.372.843,7;2.400.726,8;2.418.293,0;2.510.585,8;2.585.312,3;2.610.128,1;2.461.511,7;2.564.400,0;2.665.057,6;2.676.210,8;2.687.921,7;2.747.312,5;2.788.300,5;2.850.479,6;2.926.879,1;2.955.598,6;2.986.827,5;2.876.410,8;2.951.973,8;3.004.672,7
Estonia;11.953,6;12.862,1;13.737,2;15.045,9;16.515,2;17.766,9;16.855,1;14.389,4;14.741,1;15.811,8;16.322,2;16.560,2;17.058,9;17.375,0;17.923,3;18.961,4;19.679,0;20.414,9;20.302,4;21.929,4;21.647,0
Ireland;141.206,9;145.463,0;155.337,7;164.253,4;172.446,1;181.603,2;173.460,0;164.620,9;167.391,4;168.787,2;168.777,8;170.677,7;185.440,2;230.632,8;235.260,9;256.446,9;278.315,5;293.458,5;311.607,5;353.949,5;396.315,8
Greece;203.768,7;215.576,2;226.486,5;227.843,5;240.722,2;248.602,8;247.769,5;237.113,6;224.124,0;201.377,0;187.106,0;182.398,4;183.266,1;182.906,7;182.015,6;184.003,5;187.073,5;190.598,6;173.437,0;188.065,4;199.187,1
Spain;929.100,7;956.805,9;986.684,4;1.022.719,0;1.064.677,9;1.103.056,8;1.112.841,6;1.070.964,2;1.072.709,0;1.063.973,0;1.032.490,9;1.018.001,5;1.032.210,5;1.071.832,1;1.104.392,0;1.137.256,0;1.163.236,3;1.186.314,5;1.051.959,2;1.110.023,1;1.170.538,6
