Presion Fiscal;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Germany;35,007;35,701;36,39;36,757;36,703;36,992;37,416;37,793;38,43010101;38,61672449;38,33487748
Australia;25,599;26,271;27,115;27,328;27,325;27,919;27,604;28,498;28,53386115;27,67300158;..
Austria;40,833;41,022;41,969;42,816;42,71;43,098;41,913;41,757;42,25052439;42,56195376;42,13177506
Belgium;42,622;43,141;44,177;45,164;45,073;44,813;43,881;43,795;43,86850927;42,69989142;43,06729799
Canada;30,648;30,543;30,992;30,863;31,34;32,678;33,172;33,114;33,50569006;33,80778863;34,38880294
Chile;19,681;21,235;21,328;19,86;19,61;20,383;20,139;20,16;21,12644012;20,89094987;19,32388826
Colombia;18,096;..;..;20,022;..;19,903;..;18,983;19,26519988;19,70290928;18,71803157
Korea;23,391;24,155;24,78;24,298;24,59;25,162;26,237;25,357;26,68580628;27,30453911;27,97937908
Costa Rica;22,13091931;..;..;22,97885837;..;22,94708205;..;..;23,1884647;23,57913346;22,88696031
Denmark;45,061;45,122;45,512;45,888;48,531;46,132;45,692;45,849;44,17524173;46,60266999;46,53744688
Slovenia;36,898;36,475;36,872;36,749;36,189;36,353;36,505;37,134;37,27065261;37,16760692;36,85139958
Spain;31,515;31,448;32,238;33,132;33,593;33,593;33,29;33,87;34,66219658;34,68206931;36,62411808
United States;23,494;23,9;24,069;25,653;25,975;26,235;25,872;26,74;24,8936754;24,96870766;25,5386621
Estonia;33,248;31,512;31,667;31,7;32,267;33,307;33,536;32,515;33,04646155;33,52630159;34,51233488
Finland;40,788;42,033;42,679;43,616;43,814;43,928;44,025;42,926;42,38610859;42,25084029;41,91319215
France;41,973;43,16;44,321;45,234;45,449;45,281;45,374;46,068;45,87797771;44,88534994;45,42712106
Greece;32,238;33,698;35,502;35,456;35,745;36,584;38,696;38,622;40,00004429;39,48400809;38,78133816
Netherlands;36,09;35,853;36,018;36,536;37,047;37,007;38,401;38,701;38,79884287;39,26376444;39,67553853
Hungary;37,504;36,471;38,531;38,073;37,985;38,709;39,149;38,283;36,82036228;36,46474955;35,67979843
Ireland;27,099;27,079;27,488;28,166;28,413;23,106;23,362;22,761;22,35410136;21,9025131;20,20423563
Iceland;33,389;34,457;35,223;35,751;38,319;36,331;50,809;37,564;36,44800083;34,84392428;36,08672903
Israel;30,536;30,773;29,987;30,718;31,152;31,311;31,109;32,544;30,80193132;30,21142624;29,72530043
Italy;41,859;41,906;43,896;44,05;43,474;43,112;42,307;41,912;41,72541849;42,41526359;42,9120592
Japan;27,57;28,612;28,22;28,854;30,26;30,63;30,73;31,377;31,55239415;31,4124279;..
Latvia;28,108;27,769;28,393;28,499;28,975;29,221;31,202;31,392;31,14391062;31,24399254;31,91317146
Lithuania;28,291;..;26,968;26,752;27,486;28,877;29,688;29,469;30,22675635;30,27874653;31,24989055
Luxemburg;38,014;37,865;38,392;38,234;37,446;37,092;37,936;37,611;39,46765601;38,94883738;38,27169012
Mexico;14,115;14,032;13,122;13,754;13,704;15,933;16,62;16,096;16,14525227;16,34681337;17,93274948
Norway;41,947;42,084;41,506;39,925;38,792;38,428;38,713;38,78;39,3678494;39,9064814;38,60809445
New Zealand;30,268;30,449;32,06;31,125;31,223;31,569;31,678;31,605;32,1727585;31,4556166;32,17691418
Poland;31,144;31,633;32,077;31,944;31,876;32,367;33,537;34,124;35,1432322;35,10576274;35,98105565
Portugal;30,405;32,329;31,779;34,073;34,255;34,447;34,124;34,121;34,65595857;34,50235472;34,75388938
United Kingdom;32,534;33,402;32,755;32,574;31,825;32,156;32,726;32,825;32,88668315;32,7179953;32,77434992
Czech Republic;32,549;33,259;33,677;34,078;33,095;33,347;34,238;34,438;34,98176136;34,7806079;34,38191829
Slovakia;28,062;28,609;28,337;30,235;31,123;32,179;32,336;34,224;34,19790345;34,57066197;34,75413942
Sweden;43,223;42,507;42,56;42,913;42,585;43,081;44,208;44,307;43,77410329;42,83348854;42,59746086
Switzerland;26,465;27,009;26,79;26,885;26,882;27,595;27,708;28,415;26,81074802;27,35757887;27,58808041
Turkey;26,199;27,83;24,946;25,346;24,582;25,088;25,302;24,68;23,98348718;23,10328587;23,86007202
Average OECD;32,574;32,953;33,296;33,607;33,595;33,723;34,423;33,741;33,49015966;33,42291416;33,51008677
