General Government Deficit Surplus;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Denmark;-2,7;-2,1;-3,5;-1,2;1,1;-1,2;0,1;1,8;0,8;4,1;0,2;3,6
Luxembourg;-0,3;0,7;0,5;0,8;1,3;1,3;1,9;1,4;3,0;2,2;-3,4;0,8
Bulgaria;-3,7;-1,7;-0,8;-0,7;-5,4;-1,9;0,3;1,6;1,7;2,1;-3,8;-3,9
Netherlands;-5,3;-4,4;-3,9;-3,0;-2,3;-1,9;0,1;1,4;1,5;1,8;-3,7;-2,6
Germany;-4,4;-0,9;0,0;0,0;0,6;1,0;1,2;1,3;1,9;1,5;-4,3;-3,7
Cyprus;-4,7;-5,7;-5,7;-5,6;-8,8;-0,9;0,3;1,9;-3,6;1,3;-5,8;-1,7
Greece;-11,4;-10,5;-9,1;-13,4;-3,7;-5,9;0,2;0,6;0,9;1,1;-9,9;-7,5
Malta;-2,2;-3,0;-3,4;-2,2;-1,5;-0,8;1,1;3,3;2,1;0,6;-9,4;-7,8
Austria;-4,4;-2,6;-2,2;-2,0;-2,7;-1,0;-1,5;-0,8;0,2;0,6;-8,0;-5,9
Slovenia;-5,6;-6,6;-4,0;-14,6;-5,5;-2,8;-1,9;-0,1;0,7;0,6;-7,7;-4,7
Sweden;-0,1;-0,3;-1,1;-1,5;-1,5;0,0;1,0;1,4;0,8;0,6;-2,8;-0,1
Ireland;-32,1;-13,6;-8,5;-6,4;-3,6;-2,0;-0,8;-0,3;0,1;0,5;-5,0;-1,7
Lithuania;-6,9;-8,9;-3,2;-2,6;-0,6;-0,3;0,3;0,4;0,5;0,5;-7,0;-1,0
Czechia;-4,2;-2,7;-3,9;-1,3;-2,1;-0,6;0,7;1,5;0,9;0,3;-5,8;-5,1
Croatia;-6,7;-7,6;-5,5;-5,5;-5,2;-3,5;-1,0;0,6;-0,1;0,2;-7,3;-2,6
Estonia;0,2;1,1;-0,3;0,2;0,7;0,1;-0,4;-0,5;-0,6;0,1;-5,5;-2,4
Portugal;-11,4;-7,7;-6,2;-5,1;-7,4;-4,4;-1,9;-3,0;-0,3;0,1;-5,8;-2,9
European Union;-6,0;-4,1;-3,7;-3,0;-2,4;-1,9;-1,4;-0,8;-0,4;-0,5;-6,7;-4,6
Euro area - 19 countries  (2015-2022);-6,3;-4,2;-3,8;-3,1;-2,5;-2,0;-1,5;-0,9;-0,4;-0,6;-7,0;-5,1
Latvia;-8,6;-4,3;-1,4;-1,2;-1,6;-1,4;0,0;-0,8;-0,8;-0,6;-4,3;-7,0
Poland;-7,5;-5,0;-3,8;-4,3;-3,7;-2,6;-2,4;-1,5;-0,2;-0,7;-6,9;-1,8
Finland;-2,5;-1,0;-2,2;-2,5;-3,0;-2,4;-1,7;-0,7;-0,9;-0,9;-5,5;-2,7
Slovakia;-7,5;-4,3;-4,4;-2,9;-3,1;-2,7;-2,6;-1,0;-1,0;-1,2;-5,4;-5,5
Italy;-4,2;-3,6;-2,9;-2,9;-3,0;-2,6;-2,4;-2,4;-2,2;-1,5;-9,5;-7,2
Belgium;-4,1;-4,3;-4,3;-3,1;-3,1;-2,4;-2,4;-0,7;-0,9;-1,9;-9,0;-5,6
Hungary;-4,4;-5,2;-2,3;-2,6;-2,8;-2,0;-1,8;-2,5;-2,1;-2,0;-7,5;-7,1
Spain;-9,5;-9,7;-11,6;-7,5;-6,1;-5,3;-4,3;-3,1;-2,6;-3,1;-10,1;-6,9
France;-6,9;-5,2;-5,0;-4,1;-3,9;-3,6;-3,6;-3,0;-2,3;-3,1;-9,0;-6,5
Romania;-7,1;-5,6;-3,8;-2,3;-1,2;-0,5;-2,5;-2,5;-2,8;-4,3;-9,2;-7,1
