Total employment(domestic concept);2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
European Union - 27 countries (from 2020);188.400,10;188.965,03;189.831,65;191.772,43;195.380,07;199.389,77;201.355,21;197.729,14;195.851,25;195.945,99;195.470,16;194.714,29;196.492,33;198.322,95;200.895,88;204.145,26;207.134,03;209.449,87;206.449,11;209.470,85;213.676,04
European Union - 28 countries (2013-2020);216.344,00;217.188,10;218.365,10;220.625,58;224.520,52;228.768,52;230.982,77;226.883,41;225.078,11;225.320,48;225.164,48;224.756,06;227.244,84;229.607,99;232.641,20;236.205,43;239.576,99;242.244,45;:;:;:
European Union - 15 countries (1995-2004);172.852,05;173.608,11;174.972,19;176.717,65;179.556,76;182.612,16;184.135,99;180.954,82;180.359,22;180.793,94;180.558,40;180.225,15;182.059,58;183.976,89;186.585,73;189.342,18;192.251,95;194.691,51;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);137.779,74;138.306,79;139.404,79;140.787,43;143.197,97;146.823,03;148.622,34;148.287,78;147.609,47;148.407,66;147.830,51;147.071,48;149.026,14;151.743,46;153.883,60;156.286,61;158.842,43;160.953,83;158.479,14;160.702,35;164.313,09
Euro area Ð 20 countries (from 2023);145.715,04;146.358,89;147.465,48;148.939,16;151.547,86;154.413,45;155.742,19;152.823,21;151.919,59;152.123,26;151.524,32;150.758,98;151.891,26;153.305,20;155.449,12;157.890,49;160.487,78;162.649,61;160.154,67;162.397,84;166.048,13
Euro area - 19 countries  (2015-2022);144.166,28;144.773,32;145.867,92;147.326,88;149.885,99;152.700,57;153.994,29;151.086,55;150.249,28;150.518,98;149.977,95;149.256,37;150.348,92;151.743,46;153.883,60;156.286,61;158.842,43;160.953,83;158.479,14;160.702,35;164.313,09
Euro area - 12 countries (2001-2006);137.779,74;138.306,79;139.404,79;140.787,43;143.197,97;145.846,90;147.057,36;144.535,91;143.906,30;144.092,22;143.523,16;142.798,67;143.833,66;145.110,75;147.123,86;149.403,65;151.807,30;153.823,05;151.460,11;153.675,95;157.066,99
Belgium;4.175,50;4.171,60;4.212,80;4.273,20;4.321,40;4.393,40;4.471,60;4.464,20;4.492,90;4.553,00;4.572,40;4.559,00;4.577,10;4.617,30;4.675,20;4.748,50;4.818,10;4.895,20;4.898,30;4.989,10;5.088,60
Bulgaria;3.222,12;3.317,39;3.403,40;3.495,27;3.612,04;3.726,74;3.814,65;3.749,30;3.603,89;3.524,55;3.436,39;3.421,58;3.434,17;3.446,21;3.463,35;3.525,35;3.521,64;3.533,58;3.451,74;3.458,41;3.502,08
Czechia;4.876,77;4.838,06;4.828,89;4.922,64;4.988,98;5.093,14;5.204,08;5.110,10;5.057,24;5.043,44;5.064,62;5.080,93;5.108,97;5.181,91;5.264,30;5.345,81;5.417,11;5.430,34;5.337,20;5.357,69;5.450,36
Denmark;2.784,20;2.758,65;2.744,15;2.783,16;2.845,94;2.912,41;2.946,87;2.854,35;2.787,86;2.786,63;2.766,81;2.766,40;2.790,51;2.829,00;2.876,45;2.919,56;2.962,78;3.005,48;2.973,00;3.045,79;3.163,61
Germany (until 1990 former territory of the FRG);39.666,00;39.237,00;39.362,00;39.311,00;39.595,00;40.272,00;40.838,00;40.903,00;41.048,00;41.544,00;42.019,00;42.350,00;42.721,00;43.122,00;43.661,00;44.251,00;44.866,00;45.277,00;44.915,00;44.980,00;45.570,00
Estonia;588,50;601,10;598,70;612,30;642,20;643,40;642,10;576,60;548,10;584,00;593,50;600,90;605,50;622,90;624,70;641,50;647,40;655,60;637,90;638,80;668,10
Ireland;1.849,26;1.884,74;1.946,14;2.037,01;2.128,25;2.218,60;2.196,67;2.013,43;1.923,01;1.885,78;1.877,95;1.933,23;1.984,01;2.053,49;2.130,13;2.189,97;2.251,53;2.318,23;2.252,62;2.388,72;2.546,85
Greece;4.434,29;4.495,68;4.604,09;4.646,87;4.731,34;4.795,07;4.856,36;4.829,00;4.706,43;4.505,14;4.325,83;4.300,67;4.453,73;4.322,57;4.469,51;4.446,63;4.650,34;4.751,96;4.666,66;4.793,14;4.975,28
Spain;17.672,50;18.238,70;18.906,90;19.704,40;20.512,30;21.173,00;21.196,10;19.852,50;19.505,90;19.010,80;18.248,10;17.802,80;17.987,70;18.490,80;18.885,40;19.382,10;19.809,10;20.332,10;19.481,50;19.961,00;20.516,00
France;26.098,00;26.105,00;26.141,00;26.321,00;26.607,00;26.992,00;27.129,00;26.819,00;26.846,00;27.048,00;27.140,00;27.190,00;27.334,00;27.391,00;27.567,00;27.881,00;28.158,00;28.495,00;28.298,00;29.007,00;29.696,00
Croatia;1.548,76;1.585,57;1.597,57;1.612,28;1.661,88;1.712,88;1.747,91;1.736,66;1.670,31;1.604,28;1.546,38;1.502,61;1.542,33;1.561,74;1.565,52;1.603,87;1.645,35;1.695,77;1.675,53;1.695,49;1.735,04
Italy;23.875,40;24.226,20;24.373,30;24.510,80;24.994,40;25.303,60;25.359,70;24.941,80;24.782,80;24.849,70;24.782,60;24.338,80;24.357,30;24.516,20;24.848,70;25.138,30;25.371,30;25.503,90;24.956,10;25.107,50;25.541,70
Cyprus;328,30;340,11;353,61;366,46;373,25;389,78;403,51;403,64;406,14;407,26;392,81;370,85;363,41;369,12;386,31;407,14;428,90;445,14;439,86;445,36;458,09
Latvia;952,32;958,28;960,62;969,15;1.024,95;1.064,07;1.055,07;903,72;843,51;856,22;868,63;888,63;876,63;889,00;886,30;885,99;898,88;898,06;877,08;854,54;877,97
Lithuania;1.395,12;1.426,22;1.410,74;1.421,51;1.417,25;1.446,38;1.427,64;1.318,45;1.248,21;1.255,09;1.278,80;1.296,27;1.322,79;1.341,33;1.371,77;1.361,89;1.380,60;1.388,54;1.366,79;1.382,86;1.453,16
Luxembourg;286,81;292,54;299,31;307,52;319,27;333,26;349,06;352,52;359,02;369,63;378,66;385,54;395,12;405,24;417,52;432,19;447,72;463,48;471,56;485,57;502,56
Hungary;4.117,56;4.196,94;4.152,13;4.122,17;4.155,68;4.125,60;4.052,19;3.975,37;3.949,13;3.947,52;3.983,71;4.034,89;4.218,93;4.312,82;4.473,26;4.559,24;4.663,32;4.715,06;4.662,86;4.715,56;4.797,90
Malta;149,39;148,82;149,37;151,26;153,51;156,95;160,94;161,00;163,79;168,62;173,33;181,10;192,12;199,40;208,44;225,03;238,60;252,20;259,31;266,87;283,00
Netherlands;8.427,00;8.380,00;8.285,00;8.340,00;8.521,00;8.772,00;8.915,00;8.839,00;8.779,00;8.855,00;8.837,00;8.733,00;8.725,00;8.808,00;8.943,00;9.157,00;9.408,00;9.623,00;9.571,00;9.759,00;10.146,00
Austria;3.778,38;3.803,03;3.826,82;3.872,90;3.940,73;4.012,73;4.089,13;4.067,50;4.098,21;4.161,95;4.205,16;4.219,77;4.259,90;4.285,54;4.341,33;4.412,56;4.487,09;4.535,09;4.460,93;4.551,00;4.669,65
Poland;13.766,30;13.606,10;13.760,30;14.057,00;14.503,90;15.155,90;15.731,90;15.789,40;15.370,30;15.457,30;15.474,90;15.463,80;15.731,00;15.970,00;16.099,70;16.315,00;16.403,70;16.397,90;16.397,60;16.815,00;16.882,80
Portugal;5.149,93;5.100,19;5.064,18;5.040,96;5.060,86;5.061,58;5.080,13;4.941,69;4.871,33;4.776,73;4.581,45;4.450,17;4.512,99;4.575,82;4.649,86;4.802,60;4.914,02;4.952,80;4.864,72;4.958,72;5.059,40
Romania;9.573,90;9.569,40;9.187,50;9.159,14;9.353,27;9.488,43;9.359,13;9.017,12;8.725,05;8.522,69;8.645,30;8.569,40;8.634,60;8.525,70;8.429,60;8.631,00;8.638,80;8.649,50;8.472,10;8.624,50;8.635,90
